xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xterm 356-1
yarn 1.22.4-1
yay 9.4.7-1
youtube-dl 2020.05.08-1
z 1.11-1
zip 3.0-9
zsh 5.8-1
